kontostand,dauer,kredithistorie,zweck,kreditbetrag,ersparnisse,beschaeftigt_seit,rate_vs_einkommen,geschlecht,mitschuldner,meldeadresse_seit,vermoegen,alter,verpflichtungen,wohnung,bestehende_kredite,job,unterhaltspflichtig,telefon,ergebnis,status
unter 200 DM,12,Kritisches Konto / Kredite bei anderer Bank,Unterhaltungselektronik,3573,weniger als 100,zwischen 1 und 4 Jahren,1,weiblich,keine,1,unbekannt / kein Vermoegen,23,keine,Eigentum,1,ungelernt / angestellt,1,nein,1,single
unter 200 DM,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,1201,weniger als 100,weniger als 1 Jahr,4,maennlich,keine,1,Immobilien,26,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
im Dispo,30,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,3622,ueber 1.000,laenger als 7 Jahre,4,weiblich,keine,4,Immobilien,57,keine,Miete,2,Facharbeiter / Beamter,1,ja,1,single
Kein Konto,15,Bestehender Kredit wird puenktlich bedient,Moebel,960,ueber 1.000,zwischen 4 und 7 Jahren,3,weiblich,keine,2,Immobilien,30,keine,Eigentum,2,Facharbeiter / Beamter,1,nein,1,single
Kein Konto,12,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,1163,zwischen 500 und 1.000,zwischen 1 und 4 Jahren,4,maennlich,keine,4,unbekannt / kein Vermoegen,44,keine,Eigentum,1,Facharbeiter / Beamter,1,ja,1,single
unter 200 DM,6,Bestehender Kredit wird puenktlich bedient,Neuwagen,1209,weniger als 100,arbeitslos,4,maennlich,keine,4,Immobilien,47,keine,Eigentum,1,"Management, selbstaendig, hochqualifiziert",1,ja,2,single
Kein Konto,12,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,3077,weniger als 100,zwischen 1 und 4 Jahren,2,maennlich,keine,4,Auto,52,keine,Eigentum,1,Facharbeiter / Beamter,1,ja,1,single
Kein Konto,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,3757,weniger als 100,laenger als 7 Jahre,4,weiblich,weiterer Kreditnehmer,4,unbekannt / kein Vermoegen,62,keine,kostenlos,1,Facharbeiter / Beamter,1,ja,1,single
Kein Konto,10,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,1418,zwischen 100 und 500,zwischen 1 und 4 Jahren,3,maennlich,keine,2,unbekannt / kein Vermoegen,35,keine,Miete,1,ungelernt / angestellt,1,nein,1,single
Kein Konto,6,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,3518,weniger als 100,zwischen 1 und 4 Jahren,2,maennlich,Buerge,3,Immobilien,26,keine,Miete,1,Facharbeiter / Beamter,1,nein,1,single
Kein Konto,12,Kritisches Konto / Kredite bei anderer Bank,Unterhaltungselektronik,1934,weniger als 100,laenger als 7 Jahre,2,maennlich,keine,2,unbekannt / kein Vermoegen,26,keine,Eigentum,2,Facharbeiter / Beamter,1,nein,1,single
unter 200 DM,27,Kritisches Konto / Kredite bei anderer Bank,Geschaeft,8318,weniger als 100,laenger als 7 Jahre,2,weiblich,keine,4,unbekannt / kein Vermoegen,42,keine,kostenlos,2,"Management, selbstaendig, hochqualifiziert",1,ja,2,single
Kein Konto,6,Kritisches Konto / Kredite bei anderer Bank,Unterhaltungselektronik,1237,zwischen 100 und 500,zwischen 1 und 4 Jahren,1,weiblich,keine,1,Immobilien,27,keine,Eigentum,2,Facharbeiter / Beamter,1,nein,1,single
unter 200 DM,6,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,368,unbekannt / kein Konto,laenger als 7 Jahre,4,maennlich,keine,4,Immobilien,38,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
im Dispo,12,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,2122,weniger als 100,zwischen 1 und 4 Jahren,3,maennlich,keine,2,unbekannt / kein Vermoegen,39,keine,Miete,2,ungelernt / angestellt,2,nein,1,single
im Dispo,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,2996,unbekannt / kein Konto,zwischen 1 und 4 Jahren,2,maennlich,keine,4,Auto,20,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,2,verheiratet / verwitwet
unter 200 DM,36,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,9034,zwischen 100 und 500,weniger als 1 Jahr,4,maennlich,weiterer Kreditnehmer,1,unbekannt / kein Vermoegen,29,keine,Miete,1,"Management, selbstaendig, hochqualifiziert",1,ja,2,single
Kein Konto,24,Kritisches Konto / Kredite bei anderer Bank,Moebel,1585,weniger als 100,zwischen 4 und 7 Jahren,4,maennlich,keine,3,Immobilien,40,keine,Eigentum,2,Facharbeiter / Beamter,1,nein,1,single
unter 200 DM,18,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,1301,weniger als 100,laenger als 7 Jahre,4,maennlich,Buerge,2,unbekannt / kein Vermoegen,32,keine,Eigentum,1,ungelernt / angestellt,1,nein,1,verheiratet / verwitwet
mehr als 200 DM,6,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,1323,zwischen 100 und 500,laenger als 7 Jahre,2,maennlich,keine,4,Auto,28,keine,Eigentum,2,Facharbeiter / Beamter,2,ja,1,geschieden / getrennt
im Dispo,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,3123,weniger als 100,weniger als 1 Jahr,4,weiblich,keine,1,Immobilien,27,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,2,single
im Dispo,36,Alle Kredite bei dieser Bank puenktlich bezahlt,Gebrauchtwagen,5493,weniger als 100,laenger als 7 Jahre,2,maennlich,keine,4,unbekannt / kein Vermoegen,42,keine,kostenlos,1,Facharbeiter / Beamter,2,nein,1,single
mehr als 200 DM,9,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,1126,zwischen 100 und 500,laenger als 7 Jahre,2,maennlich,keine,4,unbekannt / kein Vermoegen,49,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,geschieden / getrennt
unter 200 DM,24,Kritisches Konto / Kredite bei anderer Bank,Unterhaltungselektronik,1216,zwischen 100 und 500,weniger als 1 Jahr,4,maennlich,keine,4,unbekannt / kein Vermoegen,38,Bank,Eigentum,2,Facharbeiter / Beamter,2,nein,2,single
im Dispo,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,1207,weniger als 100,weniger als 1 Jahr,4,weiblich,keine,4,Immobilien,24,keine,Miete,1,Facharbeiter / Beamter,1,nein,2,single
Kein Konto,10,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,1309,unbekannt / kein Konto,zwischen 1 und 4 Jahren,4,maennlich,Buerge,4,Immobilien,27,keine,Eigentum,1,ungelernt / angestellt,1,nein,2,single
mehr als 200 DM,15,Kritisches Konto / Kredite bei anderer Bank,Gebrauchtwagen,2360,zwischen 500 und 1.000,zwischen 1 und 4 Jahren,2,maennlich,keine,2,Auto,36,keine,Eigentum,1,Facharbeiter / Beamter,1,ja,1,single
unter 200 DM,15,keine Kredite/puenktliche Zahlung,Neuwagen,6850,zwischen 100 und 500,arbeitslos,1,maennlich,keine,2,Immobilien,34,keine,Eigentum,1,"Management, selbstaendig, hochqualifiziert",2,ja,2,single
Kein Konto,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,1413,weniger als 100,zwischen 1 und 4 Jahren,4,maennlich,keine,2,Immobilien,28,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,verheiratet / verwitwet
Kein Konto,39,Alle Kredite bei dieser Bank puenktlich bezahlt,Gebrauchtwagen,8588,zwischen 100 und 500,laenger als 7 Jahre,4,maennlich,keine,2,Auto,45,keine,Eigentum,1,"Management, selbstaendig, hochqualifiziert",1,ja,1,single
im Dispo,12,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,759,weniger als 100,zwischen 4 und 7 Jahren,4,maennlich,keine,2,unbekannt / kein Vermoegen,26,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,2,single
Kein Konto,36,Alle Kredite bei dieser Bank puenktlich bezahlt,Gebrauchtwagen,4686,weniger als 100,zwischen 1 und 4 Jahren,2,maennlich,keine,2,unbekannt / kein Vermoegen,32,keine,kostenlos,1,"Management, selbstaendig, hochqualifiziert",1,ja,1,single
mehr als 200 DM,15,Alle Kredite bei dieser Bank puenktlich bezahlt,Geschaeft,2687,weniger als 100,zwischen 4 und 7 Jahren,2,maennlich,keine,4,Immobilien,26,keine,Miete,1,Facharbeiter / Beamter,1,ja,1,single
unter 200 DM,12,Bestehender Kredit wird puenktlich bedient,Unterhaltungselektronik,585,weniger als 100,zwischen 1 und 4 Jahren,4,maennlich,weiterer Kreditnehmer,4,unbekannt / kein Vermoegen,20,keine,Miete,2,Facharbeiter / Beamter,1,nein,1,verheiratet / verwitwet
Kein Konto,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,2255,unbekannt / kein Konto,weniger als 1 Jahr,4,maennlich,keine,1,Immobilien,54,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
im Dispo,6,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,609,weniger als 100,zwischen 4 und 7 Jahren,4,weiblich,keine,3,Immobilien,37,keine,Eigentum,2,Facharbeiter / Beamter,1,nein,1,single
im Dispo,6,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,1361,weniger als 100,weniger als 1 Jahr,2,maennlich,keine,4,unbekannt / kein Vermoegen,40,keine,Eigentum,1,ungelernt / angestellt,2,nein,1,single
Kein Konto,36,Kritisches Konto / Kredite bei anderer Bank,Moebel,7127,weniger als 100,weniger als 1 Jahr,2,weiblich,keine,4,Immobilien,23,keine,Miete,2,Facharbeiter / Beamter,1,ja,2,single
im Dispo,6,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,1203,zwischen 100 und 500,laenger als 7 Jahre,3,maennlich,keine,2,Immobilien,43,keine,Eigentum,1,Facharbeiter / Beamter,1,ja,1,single
Kein Konto,6,Kritisches Konto / Kredite bei anderer Bank,Unterhaltungselektronik,700,unbekannt / kein Konto,laenger als 7 Jahre,4,maennlich,keine,4,unbekannt / kein Vermoegen,36,keine,kostenlos,2,Facharbeiter / Beamter,1,nein,1,single
Kein Konto,24,Kritisches Konto / Kredite bei anderer Bank,Reparaturen,5507,weniger als 100,laenger als 7 Jahre,3,maennlich,keine,4,unbekannt / kein Vermoegen,44,keine,kostenlos,2,Facharbeiter / Beamter,1,nein,1,single
im Dispo,18,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,3190,weniger als 100,zwischen 1 und 4 Jahren,2,weiblich,keine,2,unbekannt / kein Vermoegen,24,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,2,single
im Dispo,48,Kritisches Konto / Kredite bei anderer Bank,Moebel,7119,weniger als 100,zwischen 1 und 4 Jahren,3,maennlich,keine,4,unbekannt / kein Vermoegen,53,keine,kostenlos,2,Facharbeiter / Beamter,2,nein,2,single
Kein Konto,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Gebrauchtwagen,3488,zwischen 100 und 500,zwischen 4 und 7 Jahren,3,weiblich,keine,4,Auto,23,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
unter 200 DM,18,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,1113,weniger als 100,zwischen 1 und 4 Jahren,4,weiblich,Buerge,4,unbekannt / kein Vermoegen,26,keine,Eigentum,1,ungelernt / angestellt,2,nein,1,single
unter 200 DM,26,Alle Kredite bei dieser Bank puenktlich bezahlt,Gebrauchtwagen,7966,weniger als 100,weniger als 1 Jahr,2,maennlich,keine,3,Auto,30,keine,Eigentum,2,Facharbeiter / Beamter,1,nein,1,single
Kein Konto,15,Kritisches Konto / Kredite bei anderer Bank,Ausbildung,1532,zwischen 100 und 500,zwischen 1 und 4 Jahren,4,weiblich,keine,3,Auto,31,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
Kein Konto,4,Kritisches Konto / Kredite bei anderer Bank,Unterhaltungselektronik,1503,weniger als 100,zwischen 4 und 7 Jahren,2,maennlich,keine,1,unbekannt / kein Vermoegen,42,keine,Eigentum,2,ungelernt / angestellt,2,nein,1,single
im Dispo,36,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,2302,weniger als 100,zwischen 1 und 4 Jahren,4,maennlich,keine,4,Auto,31,keine,Miete,1,Facharbeiter / Beamter,1,nein,2,geschieden / getrennt
im Dispo,6,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,662,weniger als 100,weniger als 1 Jahr,3,maennlich,keine,4,unbekannt / kein Vermoegen,41,keine,Eigentum,1,ungelernt / angestellt,2,ja,1,single
unter 200 DM,36,Alle Kredite bei dieser Bank puenktlich bezahlt,Ausbildung,2273,weniger als 100,zwischen 4 und 7 Jahren,3,maennlich,keine,1,Auto,32,keine,Eigentum,2,Facharbeiter / Beamter,2,nein,1,single
unter 200 DM,15,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,2631,zwischen 100 und 500,zwischen 1 und 4 Jahren,2,weiblich,keine,4,Auto,28,keine,Miete,2,Facharbeiter / Beamter,1,ja,2,single
Kein Konto,12,Bestehender Kredit wird puenktlich bedient,Gebrauchtwagen,1503,weniger als 100,zwischen 1 und 4 Jahren,4,maennlich,keine,4,unbekannt / kein Vermoegen,41,keine,Miete,1,Facharbeiter / Beamter,1,nein,1,verheiratet / verwitwet
Kein Konto,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,1311,zwischen 100 und 500,zwischen 4 und 7 Jahren,4,maennlich,keine,3,Immobilien,26,keine,Eigentum,1,Facharbeiter / Beamter,1,ja,1,verheiratet / verwitwet
Kein Konto,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,3105,unbekannt / kein Konto,weniger als 1 Jahr,4,maennlich,keine,2,Auto,25,keine,Eigentum,2,Facharbeiter / Beamter,1,nein,1,single
mehr als 200 DM,21,Kritisches Konto / Kredite bei anderer Bank,Ausbildung,2319,weniger als 100,weniger als 1 Jahr,2,maennlich,keine,1,Auto,33,keine,Miete,1,Facharbeiter / Beamter,1,nein,2,geschieden / getrennt
im Dispo,6,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,1374,unbekannt / kein Konto,arbeitslos,4,weiblich,keine,3,Immobilien,75,keine,Eigentum,1,"Management, selbstaendig, hochqualifiziert",1,ja,1,single
unter 200 DM,18,Kritisches Konto / Kredite bei anderer Bank,Moebel,3612,weniger als 100,laenger als 7 Jahre,3,weiblich,keine,4,Immobilien,37,keine,Eigentum,1,Facharbeiter / Beamter,1,ja,1,single
im Dispo,48,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,7763,weniger als 100,laenger als 7 Jahre,4,maennlich,keine,4,unbekannt / kein Vermoegen,42,Bank,kostenlos,1,"Management, selbstaendig, hochqualifiziert",1,nein,2,single
mehr als 200 DM,18,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,3049,weniger als 100,weniger als 1 Jahr,1,weiblich,keine,1,Immobilien,45,Laden,Eigentum,1,ungelernt / angestellt,1,nein,1,single
unter 200 DM,12,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,1534,weniger als 100,weniger als 1 Jahr,1,maennlich,keine,1,unbekannt / kein Vermoegen,23,keine,Miete,1,Facharbeiter / Beamter,1,nein,2,verheiratet / verwitwet
Kein Konto,24,Bestehender Kredit wird puenktlich bedient,Neuwagen,2032,weniger als 100,laenger als 7 Jahre,4,maennlich,keine,4,unbekannt / kein Vermoegen,60,keine,kostenlos,2,Facharbeiter / Beamter,1,ja,1,single
im Dispo,30,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,6350,unbekannt / kein Konto,laenger als 7 Jahre,4,maennlich,keine,4,Immobilien,31,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,2,single
mehr als 200 DM,18,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,2864,weniger als 100,zwischen 1 und 4 Jahren,2,maennlich,keine,1,unbekannt / kein Vermoegen,34,keine,Eigentum,1,ungelernt / angestellt,2,nein,2,single
Kein Konto,12,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,1255,weniger als 100,laenger als 7 Jahre,4,maennlich,keine,4,unbekannt / kein Vermoegen,61,keine,Eigentum,2,ungelernt / angestellt,1,nein,1,single
im Dispo,24,Bestehender Kredit wird puenktlich bedient,Neuwagen,1333,weniger als 100,arbeitslos,4,maennlich,keine,2,unbekannt / kein Vermoegen,43,keine,kostenlos,2,Facharbeiter / Beamter,2,nein,2,single
Kein Konto,24,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,2022,weniger als 100,zwischen 1 und 4 Jahren,4,weiblich,keine,4,Auto,37,keine,Eigentum,1,Facharbeiter / Beamter,1,ja,1,single
Kein Konto,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,1552,weniger als 100,zwischen 4 und 7 Jahren,3,maennlich,keine,1,Auto,32,Bank,Eigentum,1,Facharbeiter / Beamter,2,nein,1,single
im Dispo,12,keine Kredite/puenktliche Zahlung,Unterhaltungselektronik,626,weniger als 100,zwischen 1 und 4 Jahren,4,weiblich,keine,4,unbekannt / kein Vermoegen,24,Bank,Eigentum,1,ungelernt / angestellt,1,nein,2,single
Kein Konto,48,Kritisches Konto / Kredite bei anderer Bank,Gebrauchtwagen,8858,unbekannt / kein Konto,zwischen 4 und 7 Jahren,2,maennlich,keine,1,unbekannt / kein Vermoegen,35,keine,kostenlos,2,Facharbeiter / Beamter,1,ja,1,single
Kein Konto,12,Kritisches Konto / Kredite bei anderer Bank,Reparaturen,996,unbekannt / kein Konto,zwischen 4 und 7 Jahren,4,weiblich,keine,4,unbekannt / kein Vermoegen,23,keine,Eigentum,2,Facharbeiter / Beamter,1,nein,1,single
Kein Konto,6,keine Kredite/puenktliche Zahlung,Unterhaltungselektronik,1750,zwischen 500 und 1.000,laenger als 7 Jahre,2,maennlich,keine,4,Immobilien,45,Bank,Eigentum,1,ungelernt / angestellt,2,nein,1,single
im Dispo,48,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,6999,weniger als 100,zwischen 4 und 7 Jahren,1,maennlich,Buerge,1,unbekannt / kein Vermoegen,34,keine,Eigentum,2,Facharbeiter / Beamter,1,ja,2,verheiratet / verwitwet
unter 200 DM,12,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,1995,zwischen 100 und 500,weniger als 1 Jahr,4,maennlich,keine,1,Auto,27,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
unter 200 DM,9,Alle Kredite bei dieser Bank puenktlich bezahlt,Ausbildung,1199,weniger als 100,zwischen 4 und 7 Jahren,4,weiblich,keine,4,Immobilien,67,keine,Eigentum,2,"Management, selbstaendig, hochqualifiziert",1,ja,1,single
unter 200 DM,12,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,1331,weniger als 100,weniger als 1 Jahr,2,maennlich,keine,1,Auto,22,Laden,Eigentum,1,Facharbeiter / Beamter,1,nein,2,single
unter 200 DM,18,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,2278,zwischen 100 und 500,weniger als 1 Jahr,3,weiblich,keine,3,Auto,28,keine,Eigentum,2,Facharbeiter / Beamter,1,nein,2,single
Kein Konto,21,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,5003,unbekannt / kein Konto,zwischen 1 und 4 Jahren,1,weiblich,keine,4,Immobilien,29,Bank,Eigentum,2,Facharbeiter / Beamter,1,ja,2,single
im Dispo,24,keine Kredite/puenktliche Zahlung,Moebel,3552,weniger als 100,zwischen 4 und 7 Jahren,3,maennlich,keine,4,Auto,27,Bank,Eigentum,1,Facharbeiter / Beamter,1,nein,2,single
unter 200 DM,18,Kritisches Konto / Kredite bei anderer Bank,Moebel,1928,weniger als 100,weniger als 1 Jahr,2,maennlich,keine,2,unbekannt / kein Vermoegen,31,keine,Eigentum,2,ungelernt / angestellt,1,nein,2,single
im Dispo,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Gebrauchtwagen,2964,unbekannt / kein Konto,laenger als 7 Jahre,4,maennlich,keine,4,unbekannt / kein Vermoegen,49,Bank,kostenlos,1,Facharbeiter / Beamter,2,ja,1,single
im Dispo,24,keine Kredite/puenktliche Zahlung,Unterhaltungselektronik,1546,weniger als 100,zwischen 4 und 7 Jahren,4,maennlich,Buerge,4,Auto,24,Bank,Miete,1,ungelernt / angestellt,1,nein,2,single
mehr als 200 DM,6,Bestehender Kredit wird puenktlich bedient,Unterhaltungselektronik,683,weniger als 100,weniger als 1 Jahr,2,weiblich,keine,1,Immobilien,29,Bank,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
unter 200 DM,36,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,12389,unbekannt / kein Konto,zwischen 1 und 4 Jahren,1,maennlich,keine,4,unbekannt / kein Vermoegen,37,keine,kostenlos,1,Facharbeiter / Beamter,1,ja,2,single
unter 200 DM,24,Bestehender Kredit wird puenktlich bedient,Geschaeft,4712,unbekannt / kein Konto,zwischen 1 und 4 Jahren,4,maennlich,keine,2,Immobilien,37,Bank,Eigentum,2,"Management, selbstaendig, hochqualifiziert",1,ja,1,single
unter 200 DM,24,Bestehender Kredit wird puenktlich bedient,Unterhaltungselektronik,1553,zwischen 100 und 500,zwischen 4 und 7 Jahren,3,weiblich,keine,2,Immobilien,23,keine,Miete,2,Facharbeiter / Beamter,1,ja,1,single
im Dispo,12,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,1372,weniger als 100,zwischen 4 und 7 Jahren,2,maennlich,keine,3,Auto,36,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,2,geschieden / getrennt
Kein Konto,24,Kritisches Konto / Kredite bei anderer Bank,Unterhaltungselektronik,2578,ueber 1.000,laenger als 7 Jahre,2,maennlich,keine,2,Auto,34,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
unter 200 DM,48,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,3979,unbekannt / kein Konto,zwischen 4 und 7 Jahren,4,maennlich,keine,1,Auto,41,keine,Eigentum,2,Facharbeiter / Beamter,2,ja,1,single
im Dispo,48,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,6758,weniger als 100,zwischen 1 und 4 Jahren,3,weiblich,keine,2,Auto,31,keine,Eigentum,1,Facharbeiter / Beamter,1,ja,2,single
im Dispo,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,3234,weniger als 100,weniger als 1 Jahr,4,weiblich,keine,4,unbekannt / kein Vermoegen,23,keine,Miete,1,ungelernt / angestellt,1,ja,2,single
Kein Konto,30,Kritisches Konto / Kredite bei anderer Bank,Unterhaltungselektronik,5954,weniger als 100,zwischen 4 und 7 Jahren,3,maennlich,weiterer Kreditnehmer,2,Auto,38,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
Kein Konto,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Gebrauchtwagen,5433,unbekannt / kein Konto,arbeitslos,2,weiblich,keine,4,Immobilien,26,keine,Miete,1,"Management, selbstaendig, hochqualifiziert",1,ja,1,single
im Dispo,15,Alle Kredite bei dieser Bank puenktlich bezahlt,Geschaeft,806,weniger als 100,zwischen 1 und 4 Jahren,4,weiblich,keine,4,Immobilien,22,keine,Eigentum,1,ungelernt / angestellt,1,nein,1,single
unter 200 DM,9,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,1082,weniger als 100,laenger als 7 Jahre,4,maennlich,keine,4,Auto,27,keine,Eigentum,2,ungelernt / angestellt,1,nein,1,single
Kein Konto,15,Kritisches Konto / Kredite bei anderer Bank,Moebel,2788,weniger als 100,zwischen 4 und 7 Jahren,2,weiblich,weiterer Kreditnehmer,3,Auto,24,Bank,Eigentum,2,Facharbeiter / Beamter,1,nein,1,single
unter 200 DM,12,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,2930,weniger als 100,zwischen 4 und 7 Jahren,2,weiblich,keine,1,unbekannt / kein Vermoegen,27,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
Kein Konto,24,Kritisches Konto / Kredite bei anderer Bank,Ausbildung,1927,unbekannt / kein Konto,zwischen 1 und 4 Jahren,3,weiblich,keine,2,Auto,33,keine,Eigentum,2,Facharbeiter / Beamter,1,ja,1,single
unter 200 DM,36,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,2820,weniger als 100,weniger als 1 Jahr,4,maennlich,keine,4,Auto,27,keine,Eigentum,2,Facharbeiter / Beamter,1,nein,2,geschieden / getrennt
Kein Konto,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Umschulung,937,weniger als 100,weniger als 1 Jahr,4,maennlich,keine,3,Auto,27,keine,Eigentum,2,ungelernt / angestellt,1,nein,1,verheiratet / verwitwet
unter 200 DM,18,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,1056,weniger als 100,laenger als 7 Jahre,3,maennlich,Buerge,3,unbekannt / kein Vermoegen,30,Bank,Eigentum,2,Facharbeiter / Beamter,1,nein,2,single
unter 200 DM,12,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,3124,weniger als 100,weniger als 1 Jahr,1,maennlich,keine,3,unbekannt / kein Vermoegen,49,Bank,Eigentum,2,ungelernt / angestellt,2,nein,1,single
Kein Konto,9,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,1388,weniger als 100,zwischen 1 und 4 Jahren,4,weiblich,keine,2,unbekannt / kein Vermoegen,26,keine,Miete,1,Facharbeiter / Beamter,1,nein,1,single
unter 200 DM,36,Alle Kredite bei dieser Bank puenktlich bezahlt,Reparaturen,2384,weniger als 100,weniger als 1 Jahr,4,maennlich,keine,1,unbekannt / kein Vermoegen,33,keine,Miete,1,ungelernt / angestellt,1,nein,2,single
Kein Konto,12,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,2133,unbekannt / kein Konto,laenger als 7 Jahre,4,weiblich,keine,4,unbekannt / kein Vermoegen,52,keine,kostenlos,1,"Management, selbstaendig, hochqualifiziert",1,ja,1,single
im Dispo,18,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,2039,weniger als 100,zwischen 1 und 4 Jahren,1,weiblich,keine,4,unbekannt / kein Vermoegen,20,Bank,Miete,1,Facharbeiter / Beamter,1,nein,2,single
im Dispo,9,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,2799,weniger als 100,zwischen 1 und 4 Jahren,2,maennlich,keine,2,unbekannt / kein Vermoegen,36,keine,Miete,2,Facharbeiter / Beamter,2,nein,1,single
im Dispo,12,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,1289,weniger als 100,zwischen 1 und 4 Jahren,4,maennlich,Buerge,1,Immobilien,21,keine,Eigentum,1,ungelernt / angestellt,1,nein,1,single
im Dispo,18,Alle Kredite bei dieser Bank puenktlich bezahlt,Haushaltsgeraete,1217,weniger als 100,zwischen 1 und 4 Jahren,4,maennlich,keine,3,unbekannt / kein Vermoegen,47,keine,Eigentum,1,ungelernt / angestellt,1,ja,2,verheiratet / verwitwet
im Dispo,12,Kritisches Konto / Kredite bei anderer Bank,Moebel,2246,weniger als 100,laenger als 7 Jahre,3,maennlich,keine,3,Immobilien,60,keine,Eigentum,2,Facharbeiter / Beamter,1,nein,2,single
